crimeDate,CRIME_NUM,location_description
2020-03-08,155,STREET
2020-03-09,125,STREET
2020-03-10,130,STREET
2020-03-11,119,STREET
2020-03-12,132,STREET
2020-03-13,144,STREET
2020-03-14,170,STREET
2020-03-15,137,STREET
2020-03-16,106,STREET
2020-03-17,147,STREET
2020-03-18,121,STREET
2020-03-19,102,STREET
2020-03-20,109,STREET
2020-03-21,85,STREET
2020-03-22,78,STREET
2020-03-23,104,STREET
2020-03-24,87,STREET
2020-03-25,103,STREET
2020-03-26,91,STREET
2020-03-27,86,STREET
2020-03-28,99,STREET
2020-03-29,112,STREET
2020-03-30,102,STREET
2020-03-31,93,STREET
2020-04-01,98,STREET
2020-04-02,83,STREET
2020-04-03,121,STREET
2020-04-04,94,STREET
2020-04-05,100,STREET
2020-04-06,98,STREET
2020-04-07,110,STREET
2020-04-08,103,STREET
2020-04-09,83,STREET
2020-04-10,100,STREET
2020-04-11,113,STREET
2020-04-12,98,STREET
2020-04-13,76,STREET
2020-04-14,69,STREET
2020-04-15,71,STREET
2020-04-16,107,STREET
2020-04-17,95,STREET
2020-04-18,104,STREET
2020-04-19,86,STREET
2020-04-20,89,STREET
2020-04-21,101,STREET
2020-04-22,87,STREET
2020-04-23,103,STREET
2020-04-24,100,STREET
2020-04-25,79,STREET
2020-04-26,105,STREET
2020-04-27,92,STREET
2020-04-28,101,STREET
2020-04-29,107,STREET
2020-04-30,103,STREET
2020-05-01,134,STREET
2020-05-02,122,STREET
2020-05-03,120,STREET
2020-05-04,97,STREET
2020-05-05,88,STREET
2020-05-06,116,STREET
2020-05-07,94,STREET
2020-05-08,107,STREET
2020-05-09,106,STREET
2020-05-10,101,STREET
2020-05-11,97,STREET
2020-05-12,117,STREET
2020-05-13,121,STREET
2020-05-14,98,STREET
2020-05-15,148,STREET
2020-05-16,146,STREET
2020-05-17,110,STREET
2020-05-18,127,STREET
2020-05-19,103,STREET
2020-05-20,157,STREET
2020-05-21,128,STREET
2020-05-22,136,STREET
2020-05-23,127,STREET
2020-05-24,172,STREET
2020-05-25,161,STREET
2020-05-26,128,STREET
2020-05-27,119,STREET
2020-05-28,130,STREET
2020-05-29,148,STREET
2020-05-30,213,STREET
2020-05-31,313,STREET
2020-06-01,189,STREET
2020-06-02,179,STREET
2020-06-03,180,STREET
2020-06-04,134,STREET
2020-06-05,148,STREET
2020-06-06,126,STREET
2020-06-07,169,STREET
2020-06-08,133,STREET
2020-06-09,95,STREET
2020-06-10,111,STREET
2020-06-11,135,STREET
2020-06-12,154,STREET
2020-06-13,114,STREET
2020-06-14,126,STREET
2020-06-15,132,STREET
2020-06-16,139,STREET
2020-06-17,126,STREET
2020-06-18,142,STREET
2020-06-19,150,STREET
2020-06-20,168,STREET
2020-06-21,142,STREET
2020-06-22,176,STREET
2020-06-23,156,STREET
2020-06-24,135,STREET
2020-06-25,153,STREET
