"","crimeDate","temp","Theft"
"272","2019-09-29",60.9,0.515981735159817
"273","2019-09-30",71.2,0.611872146118721
"274","2019-10-01",78.6,0.621004566210046
"275","2019-10-02",65.9,0.598173515981735
"276","2019-10-03",60.7,0.552511415525114
"277","2019-10-04",51.8,0.561643835616438
"278","2019-10-05",54.6,0.525114155251142
"279","2019-10-06",58.6,0.515981735159817
"280","2019-10-07",58.6,0.497716894977169
"281","2019-10-08",57.1,0.529680365296804
"282","2019-10-09",59.8,0.493150684931507
"283","2019-10-10",61.6,0.378995433789954
"284","2019-10-11",59.7,0.579908675799087
"285","2019-10-12",42.7,0.557077625570776
"286","2019-10-13",45.4,0.488584474885845
"287","2019-10-14",44.7,0.515981735159817
"288","2019-10-15",50,0.611872146118721
"289","2019-10-16",48.8,0.598173515981735
"290","2019-10-17",46,0.525114155251142
"291","2019-10-18",46.8,0.511415525114155
"292","2019-10-19",53.4,0.4337899543379
"293","2019-10-20",56.3,0.442922374429224
"294","2019-10-21",56.2,0.470319634703196
"295","2019-10-22",50,0.392694063926941
"296","2019-10-23",47.5,0.557077625570776
"297","2019-10-24",47.1,0.648401826484018
"298","2019-10-25",44.5,0.712328767123288
"299","2019-10-26",42.1,0.333333333333333
"300","2019-10-27",48.6,0.525114155251142
"301","2019-10-28",47.1,0.461187214611872
"302","2019-10-29",40.3,0.506849315068493
"303","2019-10-30",36.5,0.397260273972603
"304","2019-10-31",33.4,0.429223744292237
"305","2019-11-01",30.9,0.616438356164384
"306","2019-11-02",38,0.452054794520548
"307","2019-11-03",38.8,0.484018264840183
"308","2019-11-04",47.6,0.54337899543379
"309","2019-11-05",37.7,0.356164383561644
"310","2019-11-06",38.6,0.356164383561644
"311","2019-11-07",28.3,0.511415525114155
"312","2019-11-08",23,0.438356164383562
"313","2019-11-09",33.6,0.479452054794521
"314","2019-11-10",40.6,0.251141552511416
"315","2019-11-11",28.1,0.232876712328767
"316","2019-11-12",13.4,0.410958904109589
"317","2019-11-13",15.7,0.420091324200913
"318","2019-11-14",27.1,0.479452054794521
"319","2019-11-15",27.1,0.611872146118721
"320","2019-11-16",32.8,0.415525114155251
"321","2019-11-17",32.9,0.511415525114155
"322","2019-11-18",36.7,0.502283105022831
"323","2019-11-19",37.2,0.493150684931507
"324","2019-11-20",40.8,0.570776255707763
"325","2019-11-21",46.5,0.452054794520548
"326","2019-11-22",36,0.474885844748858
"327","2019-11-23",31,0.54337899543379
"328","2019-11-24",38,0.438356164383562
"329","2019-11-25",44.5,0.616438356164384
"330","2019-11-26",41.2,0.534246575342466
"331","2019-11-27",44.4,0.506849315068493
"332","2019-11-28",33.8,0.17351598173516
"333","2019-11-29",35.7,0.452054794520548
"334","2019-11-30",37.3,0.621004566210046
"335","2019-12-01",39.3,0.461187214611872
"336","2019-12-02",31.7,0.634703196347032
"337","2019-12-03",32.4,0.666666666666667
"338","2019-12-04",36.7,0.607305936073059
"339","2019-12-05",35.7,0.648401826484018
"340","2019-12-06",38.5,0.707762557077626
"341","2019-12-07",30.7,0.703196347031963
"342","2019-12-08",38.5,0.328767123287671
"343","2019-12-09",45.8,0.643835616438356
"344","2019-12-10",22,0.621004566210046
"345","2019-12-11",17.9,0.415525114155251
"346","2019-12-12",28,0.63013698630137
"347","2019-12-13",39.7,0.589041095890411
"348","2019-12-14",32.8,0.662100456621005
"349","2019-12-15",23.5,0.4337899543379
"350","2019-12-16",26,0.45662100456621
"351","2019-12-17",24.9,0.493150684931507
"352","2019-12-18",19.9,0.584474885844749
"353","2019-12-19",22.9,0.643835616438356
"354","2019-12-20",29.9,0.703196347031963
"355","2019-12-21",37.5,0.607305936073059
"356","2019-12-22",39.7,0.4337899543379
"357","2019-12-23",42,0.525114155251142
"358","2019-12-24",39.8,0.497716894977169
"359","2019-12-25",47.5,0.141552511415525
"360","2019-12-26",55.6,0.328767123287671
"361","2019-12-27",36.9,0.575342465753425
"362","2019-12-28",34.1,0.356164383561644
"363","2019-12-29",51.9,0.442922374429224
"364","2019-12-30",38.4,0.470319634703196
"365","2019-12-31",26.3,0.269406392694064
"732","2021-01-01",26.7,0.188775510204082
"733","2021-01-02",32,0.204081632653061
"734","2021-01-03",31.9,0.163265306122449
"735","2021-01-04",26.9,0.25
"736","2021-01-05",30.9,0.280612244897959
"737","2021-01-06",33,0.198979591836735
"738","2021-01-07",35.3,0.392857142857143
"739","2021-01-08",33.8,0.372448979591837
"740","2021-01-09",31.4,0.193877551020408
"741","2021-01-10",28.9,0.214285714285714
"742","2021-01-11",25.2,0.239795918367347
"743","2021-01-12",30.7,0.321428571428571
"744","2021-01-13",34.5,0.23469387755102
"745","2021-01-14",36.3,0.311224489795918
"746","2021-01-15",35.4,0.336734693877551
"747","2021-01-16",33,0.178571428571429
"748","2021-01-17",31.9,0.255102040816327
"749","2021-01-18",28.4,0.244897959183673
"750","2021-01-19",24.3,0.260204081632653
"751","2021-01-20",22.7,0.275510204081633
"752","2021-01-21",34,0.306122448979592
"753","2021-01-22",22.8,0.183673469387755
"754","2021-01-23",17.1,0.290816326530612
"755","2021-01-24",29.7,0.229591836734694
"756","2021-01-25",30.9,0.198979591836735
"757","2021-01-26",31,0.163265306122449
"758","2021-01-27",24.3,0.295918367346939
"759","2021-01-28",16.8,0.239795918367347
"760","2021-01-29",22,0.219387755102041
"761","2021-01-30",30.5,0.255102040816327
"762","2021-01-31",30.7,0.0918367346938776
