"","temp","dewp","Crime_Total"
"832",50.1,44.3,0.309677419354839
"833",54.5,43.8,0.412903225806452
"834",49.4,32.8,0.391397849462366
"835",44.3,26.4,0.281720430107527
"836",44.7,30.6,0.387096774193548
"837",46.9,35.3,0.406451612903226
"838",44.1,33.3,0.387096774193548
"839",49.2,27.3,0.253763440860215
"840",50.9,31.9,0.234408602150538
"841",40.2,24,0.223655913978495
"842",39.1,23.9,0.260215053763441
"843",41.7,25.5,0.335483870967742
"844",52.8,27.1,0.380645161290323
"845",55.4,40.9,0.43010752688172
"846",46.2,33.6,0.356989247311828
"847",52.8,31.7,0.419354838709677
"848",73.3,50.3,0.587096774193548
"849",52.3,43.7,0.41505376344086
"850",53.5,45.2,0.249462365591398
"851",53.1,37.4,0.567741935483871
"852",55.9,34.3,0.765591397849462
"853",74.4,50.4,0.612903225806452
"854",65.4,57,0.468817204301075
"855",56.9,51,0.305376344086021
"856",51.2,37.1,0.518279569892473
"857",49.2,35.2,0.354838709677419
"858",50.2,32.4,0.387096774193548
"859",45,32.5,0.447311827956989
"860",46.1,34.8,0.410752688172043
"861",46.2,33.4,0.410752688172043
"862",46.3,30.2,0.425806451612903
"863",49.8,27,0.331182795698925
"864",55.4,24.1,0.443010752688172
"865",60.3,27.5,0.604301075268817
"866",58.6,37.9,0.580645161290323
"867",61.7,47,0.488172043010753
"868",63.5,48.7,0.561290322580645
"869",65.2,54.6,0.468817204301075
"870",68.7,61.2,0.535483870967742
"871",74.1,60.4,0.509677419354839
"872",77.3,58.3,0.617204301075269
"873",77.6,61,0.713978494623656
"874",75.3,63.6,0.673118279569892
"875",68.5,56.5,0.696774193548387
"876",79,58.1,0.647311827956989
"877",72.8,58.8,0.501075268817204
"878",57.3,45.3,0.365591397849462
"879",48.2,42.8,0.361290322580645
"880",51.4,31.4,0.496774193548387
"881",55.7,32.7,0.541935483870968
"882",62.7,40.5,0.451612903225806
"883",63.2,46.1,0.720430107526882
"884",67.3,47.5,0.554838709677419
"885",70.7,48.9,0.619354838709677
"886",79.8,50.4,0.56989247311828
"887",80.6,54.8,0.591397849462366
"888",81.5,59.2,0.817204301075269
"889",77.5,67.5,0.675268817204301
"890",77.5,67.8,0.733333333333333
"891",79.9,66.7,0.58494623655914
"892",77.3,65,0.619354838709677
"893",81.2,66.3,0.703225806451613
"894",79.9,67.8,0.572043010752688
"895",77.9,58.8,0.718279569892473
"896",75.3,52.8,0.670967741935484
"897",70.5,52.7,0.582795698924731
"898",67.1,44.9,0.546236559139785
"899",71.5,46,0.473118279569892
"900",80.9,62.5,0.653763440860215
"901",79.5,62.2,0.810752688172043
"902",72.3,63,0.78494623655914
"903",69.8,57.8,0.563440860215054
"904",62.9,44.8,0.640860215053763
"905",68.9,52,0.533333333333333
"906",71.9,57.8,0.52258064516129
"907",72,69.1,0.445161290322581
"908",75,70.5,0.49247311827957
"909",76.5,69.2,0.754838709677419
"910",71.9,65.2,0.662365591397849
"911",76.2,71,0.427956989247312
"912",76.8,68.7,0.524731182795699
"913",71.3,62.3,0.754838709677419
"914",64.8,54.5,0.666666666666667
"915",70.4,55.1,0.709677419354839
"916",79.1,64.3,0.756989247311828
"917",81.6,67.7,0.72258064516129
"918",83.4,67.7,0.47741935483871
"919",80.5,67.6,0.563440860215054
"920",66.7,61.1,0.524731182795699
"921",66.4,53.7,0.587096774193548
"922",69.3,57.7,0.602150537634409
"923",67.8,63.2,0.425806451612903
"924",69.7,63.5,0.520430107526882
"925",71.1,66.6,0.6
"926",76.3,66.5,0.49247311827957
"927",75.4,68.4,0.412903225806452
"928",68.9,64.5,0.587096774193548
"929",70.6,62.5,0.612903225806452
"930",72.7,62,0.550537634408602
"931",73.4,62.6,0.494623655913978
"932",76.2,62.7,0.520430107526882
"933",69.6,62,0.503225806451613
"934",72.2,64.1,0.572043010752688
"935",80.5,69.9,0.632258064516129
"936",82,71.4,0.587096774193548
"937",81.5,64.4,0.655913978494624
"938",81.6,57.9,0.636559139784946
"939",80.2,63.7,0.606451612903226
"940",81,70.4,0.541935483870968
"941",81.7,71.9,0.806451612903226
"942",70.3,58.6,0.666666666666667
"943",69.4,56.9,0.967741935483871
"944",71.8,60.1,0.855913978494624
"945",68.7,55.7,0.574193548387097
"946",71.6,54,0.443010752688172
"947",74.8,55.6,0.537634408602151
"948",76,56.5,0.511827956989247
"949",77,61.8,0.535483870967742
"950",76.2,66.7,0.58494623655914
"951",82.8,69.4,0.610752688172043
"952",74.6,68.6,0.494623655913978
"953",81,74,0.412903225806452
"954",77.8,70.3,0.449462365591398
"955",80.1,70.7,0.408602150537634
"956",75.9,62.4,0.481720430107527
"957",72.9,52.5,0.593548387096774
"958",70.6,51.5,0.559139784946237
"959",72.3,56.5,0.561290322580645
"960",74.2,61.2,0.526881720430108
"961",77.2,68.6,0.378494623655914
"962",79.2,69.9,0.47741935483871
"963",79.8,69.1,0.572043010752688
"964",79.7,69.1,0.72258064516129
"965",76.3,66.8,0.58494623655914
"966",75.1,65.6,0.627956989247312
"967",82.5,72.1,0.470967741935484
"968",78.7,70.8,0.486021505376344
"969",77.4,69.5,0.531182795698925
"970",80.7,70,0.713978494623656
"971",83.6,72.8,0.606451612903226
"972",81.5,71.7,0.675268817204301
"973",76.2,63.1,0.595698924731183
"974",74.7,58.9,0.544086021505376
"975",73.2,58.7,0.797849462365591
"976",69.5,55.6,0.462365591397849
"977",69.7,56.6,0.660215053763441
"978",70.1,60.2,0.70752688172043
"979",69.5,56.3,0.716129032258065
"980",72,53,0.625806451612903
"981",72.3,61,0.490322580645161
"982",69.7,52.5,0.518279569892473
"983",66.9,51.2,0.582795698924731
"984",68.5,52.4,0.716129032258065
"985",73.6,59.2,0.69247311827957
"986",78.8,64.5,0.729032258064516
"987",74.6,65.6,0.752688172043011
"988",77.1,65.8,0.653763440860215
"989",68.4,53.4,0.681720430107527
"990",68.7,51.4,0.72258064516129
"991",74.8,57.8,0.606451612903226
"992",71.4,62.2,0.690322580645161
"993",73.6,62.3,0.802150537634409
"994",75.7,66.9,0.673118279569892
"995",69,62.2,0.606451612903226
"996",59.7,50.4,0.610752688172043
"997",58,42,0.604301075268817
"998",62.7,44,0.550537634408602
"999",61.4,45.9,0.647311827956989
"1000",66.1,41.2,0.604301075268817
"1001",73.4,54.5,0.634408602150538
"1002",65.9,54.7,0.701075268817204
"1003",67,54.5,0.660215053763441
"1004",68.7,55,0.587096774193548
"1005",70.8,57.1,1
"1006",72.7,61.5,0.782795698924731
"1007",70.6,65.6,0.759139784946237
"1008",66.9,62.5,0.61505376344086
"1009",65.6,60.8,0.638709677419355
"1010",65.6,61.9,0.690322580645161
"1011",68.1,64.3,0.516129032258065
"1012",67,62.2,0.643010752688172
"1013",69.4,61.9,0.668817204301075
"1014",73,63.9,0.649462365591398
"1015",72.2,63.7,0.486021505376344
"1016",63,60,0.621505376344086
"1017",60,55,0.574193548387097
"1018",66.7,58.3,0.567741935483871
"1019",57.7,48.7,0.627956989247312
"1020",52.1,38.1,0.572043010752688
"1021",53.3,35,0.612903225806452
"1022",57,39,0.634408602150538
"1023",60.7,45.6,0.468817204301075
"1024",61.3,47.3,0.56989247311828
"1025",56.7,48.6,0.623655913978495
"1026",47.9,38.2,0.582795698924731
"1027",47.4,33.6,0.666666666666667
"1028",45.7,39.4,0.32258064516129
"1029",49.6,45.2,0.520430107526882
"1030",49.1,41.3,0.63010752688172
"1031",47.1,38.1,0.567741935483871
"1032",51.3,46.1,0.552688172043011
"1033",54.3,52.3,0.58494623655914
"1034",54.4,48.8,0.602150537634409
"1035",48.7,41.1,0.681720430107527
"1036",41.4,28.1,0.705376344086021
"1037",39.6,25.2,0.572043010752688
"1038",36.9,24.4,0.539784946236559
"1039",37.8,24.3,0.511827956989247
"1040",41.5,28.6,0.501075268817204
"1041",45.9,31.9,0.632258064516129
"1042",52.4,39.6,0.651612903225806
"1043",55.9,42.6,0.683870967741935
"1044",54.7,47.3,0.623655913978495
"1045",47.8,41,0.621505376344086
"1046",52.7,45.4,0.494623655913978
"1047",40.6,31.9,0.449462365591398
"1048",37.1,30.8,0.541935483870968
"1049",35.6,29.9,0.483870967741935
"1050",32.9,23.5,0.550537634408602
"1051",37.7,30.3,0.552688172043011
"1052",54.7,49.4,0.421505376344086
"1053",36.9,22.9,0.513978494623656
"1054",32.8,18.7,0.50752688172043
"1055",39.7,26.1,0.576344086021505
"1056",43.5,32.4,0.526881720430108
"1057",31.2,10,0.419354838709677
"1058",31.7,11.5,0.350537634408602
"1059",41.9,26.4,0.548387096774194
"1060",44.1,37.4,0.161290322580645
"1061",24.7,10.1,0.440860215053763
"1062",33.7,21,0.453763440860215
"1063",34.8,20.6,0.496774193548387
"1064",33.1,14.9,0.561290322580645
"1065",41.5,26,0.49247311827957
"1066",41.3,30.7,0.726881720430108
"1067",51.2,35.6,0.625806451612903
"1068",45.7,31.5,0.724731182795699
"1069",37.6,25.3,0.561290322580645
"1070",37.6,20,0.466666666666667
"1071",34.6,24,0.470967741935484
"1072",18.3,0.2,0.397849462365591
"1073",28.3,13,0.574193548387097
"1074",34.3,22.7,0.529032258064516
"1075",42,34.5,0.548387096774194
"1076",45.3,38,0.451612903225806
"1077",37.9,24.1,0.548387096774194
"1078",42.5,28.1,0.574193548387097
"1079",40.7,31.6,0.49247311827957
"1080",56.2,50.1,0.610752688172043
"1081",51.5,41,0.559139784946237
"1082",32.9,20.4,0.509677419354839
"1083",37.2,30.4,0.524731182795699
"1084",32.4,22.3,0.367741935483871
"1085",34.1,26.2,0.434408602150538
"1086",32.4,23.4,0.354838709677419
"1087",26.4,11.5,0.301075268817204
