"","month","day","year","CrimeTotalAssaultTheft.year.1","temp","Crime_Total","Theft","Assault"
"377","Jan","Wednesday",2021,2021,34.5,0.305602716468591,0.23469387755102,0.25
"378","Jan","Thursday",2021,2021,36.3,0.33786078098472,0.311224489795918,0.133333333333333
"379","Jan","Friday",2021,2021,35.4,0.419354838709677,0.336734693877551,0.516666666666667
"380","Jan","Saturday",2021,2021,33,0.254668930390492,0.178571428571429,0.283333333333333
"381","Jan","Sunday",2021,2021,31.9,0.3446519524618,0.255102040816327,0.25
"382","Jan","Monday",2021,2021,28.4,0.234295415959253,0.244897959183673,0.0666666666666667
"383","Jan","Tuesday",2021,2021,24.3,0.31748726655348,0.260204081632653,0.25
"384","Jan","Wednesday",2021,2021,22.7,0.34125636672326,0.275510204081633,0.133333333333333
"385","Jan","Thursday",2021,2021,34,0.432937181663837,0.306122448979592,0.1
"386","Jan","Friday",2021,2021,22.8,0.312393887945671,0.183673469387755,0.15
"387","Jan","Saturday",2021,2021,17.1,0.32258064516129,0.290816326530612,0.366666666666667
"388","Jan","Sunday",2021,2021,29.7,0.293718166383701,0.229591836734694,0.233333333333333
"389","Jan","Monday",2021,2021,30.9,0.34634974533107,0.198979591836735,0.333333333333333
"390","Jan","Tuesday",2021,2021,31,0.174872665534805,0.163265306122449,0.0833333333333333
"391","Jan","Wednesday",2021,2021,24.3,0.307300509337861,0.295918367346939,0.416666666666667
"392","Jan","Thursday",2021,2021,16.8,0.244482173174873,0.239795918367347,0.116666666666667
"393","Jan","Friday",2021,2021,22,0.264855687606112,0.219387755102041,0.133333333333333
"394","Jan","Saturday",2021,2021,30.5,0.212224108658744,0.255102040816327,0.2
"395","Jan","Sunday",2021,2021,30.7,0.00848896434634975,0.0918367346938776,0.433333333333333
"396","Feb","Monday",2021,2021,29.5,0.3446519524618,0.198979591836735,0.483333333333333
"397","Feb","Tuesday",2021,2021,26,0.285229202037351,0.219387755102041,0.266666666666667
"398","Feb","Wednesday",2021,2021,25.5,0.278438030560272,0.163265306122449,0.283333333333333
"399","Feb","Thursday",2021,2021,32.2,0.168081494057725,0.183673469387755,0.383333333333333
