"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","year","temp","linearStreet2019_2021.CRIME_NUM"
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,66.5,0.674825174825175
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,57,0.611888111888112
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,59,0.555944055944056
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,63.9,0.534965034965035
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,66.6,0.636363636363636
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,60,0.479020979020979
"172",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,62.8,0.615384615384615
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,66.5,0.748251748251748
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,73.1,0.737762237762238
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,71.3,0.611888111888112
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,72,0.56993006993007
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,78.2,0.587412587412587
"178",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,77.2,0.573426573426573
"179",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,75.7,0.751748251748252
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,78.4,0.667832167832168
"181",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,77.7,0.685314685314685
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,77.1,0.678321678321678
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,83.9,0.566433566433566
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,77.6,0.587412587412587
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,78.1,0.713286713286713
"186",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,81.4,0.70979020979021
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,77.7,0.657342657342657
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,70.2,0.604895104895105
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,70.8,0.671328671328671
